run_id,study_id,config_id,seed,quality_model,agent_count,steps,converged,convergence_reason,vote_count,retract_count,unique_voters,active_agents,total_actions,mean_actions_per_agent,tab_foryou_pct,tab_notification_pct,tab_ballot_pct,root_count,remix_count,merge_count,proposal_count,total_subscriptions,subscription_gini,top_proposal_share,hhi,cluster_count,label_entropy,ballot_size,ballot_label_diversity,champion_count,final_root_count,final_remix_count,final_merge_count,unique_authors,elapsed_days,selection_efficiency,top_1_mean_quality,top_1_selection_efficiency,suboptimality_gap_top1,top_3_mean_quality,top_3_selection_efficiency,top_7_mean_quality,top_7_selection_efficiency,top_k_mean_quality,top_k_selection_efficiency,dag_mean_depth,dag_max_depth,siphon_migration_count,siphon_notification_evaluations,late_entrant_in_top5
carpentras_ideal_theoretical_n10_s99,carpentras,ideal_theoretical_n10,99,attention,10,33,False,target_duration_reached_31d,248,0,10,10,312,31.2,100.0,0.0,0.0,4,49,14,67,173,0.3605,0.0405,0.0213,11,2.8431,1,1,11,4,49,14,9,31.5,0.9351,4.4514,0.9351,0.3089,2.4063,0.5055,1.7704,0.3719,1.7704,0.3719,4.57,11,0,0,1
carpentras_ideal_theoretical_n200_s137,carpentras,ideal_theoretical_n200,137,attention,200,33,False,target_duration_reached_30d,6795,0,200,200,8452,42.26,100.0,0.0,0.0,15,1225,420,1660,8123,0.4815,0.0042,0.0012,23,3.7512,7,7,23,15,1225,420,199,30.1,0.0821,0.6126,0.0565,10.2383,1.3107,0.1208,2.0185,0.186,2.0185,0.186,11.21,24,0,0,0
carpentras_ideal_theoretical_n200_s42,carpentras,ideal_theoretical_n200,42,attention,200,33,False,target_duration_reached_32d,6820,0,200,200,8505,42.52,100.0,0.0,0.0,15,1245,428,1688,8130,0.4687,0.0049,0.0011,21,3.7937,7,7,21,15,1245,428,198,32.8,0.0907,0.4901,0.0493,9.4439,0.3637,0.0366,3.0566,0.3077,3.0566,0.3077,8.09,19,0,0,0
carpentras_ideal_theoretical_n200_s99,carpentras,ideal_theoretical_n200,99,attention,200,40,False,target_duration_reached_30d,8306,0,200,200,10280,51.4,100.0,0.0,0.0,14,1485,478,1977,9841,0.4724,0.0044,0.001,18,3.6746,3,3,18,14,1485,478,199,30.8,0.0628,1.1683,0.097,10.8742,1.6828,0.1397,1.3989,0.1162,1.3989,0.1162,12.03,23,0,0,0
carpentras_ideal_theoretical_n25_s137,carpentras,ideal_theoretical_n25,137,attention,25,39,False,target_duration_reached_30d,941,0,25,25,1204,48.16,100.0,0.0,0.0,12,192,62,266,897,0.3909,0.0123,0.0057,22,3.706,1,1,22,12,192,62,25,30.6,0.4941,4.3518,0.4941,4.4562,3.7892,0.4302,5.4322,0.6167,5.4322,0.6167,9.81,21,0,0,0
carpentras_ideal_theoretical_n25_s42,carpentras,ideal_theoretical_n25,42,attention,25,31,False,target_duration_reached_30d,759,0,25,25,977,39.08,100.0,0.0,0.0,11,153,57,221,780,0.3982,0.0167,0.0071,21,3.433,2,2,21,11,153,57,25,30.8,0.2534,3.0222,0.2958,7.1959,3.8508,0.3769,5.6339,0.5514,5.6339,0.5514,6.69,14,0,0,1
carpentras_ideal_theoretical_n25_s99,carpentras,ideal_theoretical_n25,99,attention,25,44,False,target_duration_reached_30d,1041,0,25,25,1322,52.88,100.0,0.0,0.0,9,195,80,284,965,0.3817,0.0124,0.0053,19,3.6927,2,2,19,9,195,80,25,30.6,0.3118,4.6137,0.556,3.6848,3.3506,0.4038,4.1201,0.4965,4.1201,0.4965,8.56,16,0,0,0
carpentras_ideal_theoretical_n400_s137,carpentras,ideal_theoretical_n400,137,attention,400,41,False,target_duration_reached_31d,17007,0,400,400,21235,53.09,100.0,0.0,0.0,15,3137,1079,4230,20841,0.4733,0.0034,0.0005,20,3.5715,5,5,20,15,3137,1078,399,31.7,0.0903,1.9056,0.1203,13.9403,1.0024,0.0633,1.9698,0.1243,1.9698,0.1243,12.56,24,0,0,0
carpentras_ideal_theoretical_n400_s42,carpentras,ideal_theoretical_n400,42,attention,400,35,False,target_duration_reached_30d,14303,0,400,400,17929,44.82,100.0,0.0,0.0,16,2723,890,3628,17610,0.4737,0.0039,0.0006,24,3.8477,5,5,24,16,2723,889,395,30.5,0.1123,1.4119,0.0966,13.2059,1.0567,0.0723,4.1165,0.2816,4.1165,0.2816,11.0,22,0,0,0
carpentras_ideal_theoretical_n400_s99,carpentras,ideal_theoretical_n400,99,attention,400,37,False,target_duration_reached_32d,15420,0,400,400,19268,48.17,100.0,0.0,0.0,21,3091,739,3850,18887,0.479,0.0044,0.0005,23,3.6563,3,3,23,21,3091,738,400,32.8,0.066,2.3626,0.1555,12.8359,1.0028,0.066,3.659,0.2407,3.659,0.2407,11.93,25,0,0,0
